type,name,bloat,waste
table,public.analytics_events,2.1,192 kB
index,public.activitati_agricole::activitati_agricole_pkey,0.0,16 kB
index,public.activitati_agricole::activitati_agricole_tenant_demo_seed_idx,0.0,16 kB
index,public.activitati_agricole::activitati_agricole_tenant_id_id_activitate_key,0.0,16 kB
index,public.activitati_agricole::activitati_agricole_client_sync_id_uq,0.0,16 kB
index,public.activitati_agricole::idx_activitati_parcela,0.0,16 kB
index,public.activitati_agricole::idx_activitati_tenant,0.0,16 kB
index,public.activitati_agricole::idx_activitati_data,0.0,16 kB
index,public.clienti::clienti_tenant_demo_seed_idx,2.0,8192 bytes
index,public.parcele::parcele_tenant_id_id_parcela_key,2.0,8192 bytes
index,public.profiles::profiles_is_superadmin_idx,2.0,8192 bytes
index,public.profiles::profiles_pkey,2.0,8192 bytes
index,public.recoltari::idx_recoltari_culegator,2.0,8192 bytes
index,public.recoltari::idx_recoltari_data,2.0,8192 bytes
index,public.recoltari::idx_recoltari_parcela,2.0,8192 bytes
index,public.recoltari::idx_recoltari_tenant,2.0,8192 bytes
index,public.recoltari::recoltari_client_sync_id_uq,2.0,8192 bytes
index,public.recoltari::recoltari_pkey,2.0,8192 bytes
index,public.recoltari::recoltari_tenant_demo_seed_idx,2.0,8192 bytes
index,public.recoltari::recoltari_tenant_id_id_recoltare_key,2.0,8192 bytes
index,public.tenants::tenants_pkey,2.0,8192 bytes
index,public.vanzari::idx_vanzari_client,2.0,8192 bytes
index,public.vanzari::idx_vanzari_data,2.0,8192 bytes
index,public.vanzari::idx_vanzari_tenant,2.0,8192 bytes
index,public.vanzari::vanzari_client_sync_id_uq,2.0,8192 bytes
index,public.vanzari::vanzari_comanda_id_idx,2.0,8192 bytes
index,public.vanzari::vanzari_pkey,2.0,8192 bytes
index,public.vanzari::vanzari_tenant_demo_seed_idx,2.0,8192 bytes
index,public.vanzari_butasi::idx_vanzari_butasi_client,2.0,8192 bytes
index,public.vanzari_butasi::idx_vanzari_butasi_data,2.0,8192 bytes
index,public.vanzari_butasi::idx_vanzari_butasi_tenant,2.0,8192 bytes
index,public.vanzari_butasi::vanzari_butasi_pkey,2.0,8192 bytes
index,public.vanzari_butasi::vanzari_butasi_tenant_demo_seed_idx,2.0,8192 bytes
index,public.vanzari_butasi_items::vanzari_butasi_items_comanda_id_idx,2.0,8192 bytes
index,public.vanzari_butasi_items::vanzari_butasi_items_pkey,2.0,8192 bytes
index,public.vanzari_butasi_items::vanzari_butasi_items_tenant_demo_seed_idx,2.0,8192 bytes
index,public.vanzari_butasi_items::vanzari_butasi_items_tenant_id_idx,2.0,8192 bytes
table,public.cheltuieli_diverse,2.0,8192 bytes
index,public.cheltuieli_diverse::cheltuieli_diverse_client_sync_id_uq,2.0,8192 bytes
index,public.cheltuieli_diverse::cheltuieli_diverse_pkey,2.0,8192 bytes
index,public.cheltuieli_diverse::cheltuieli_diverse_tenant_demo_seed_idx,2.0,8192 bytes
index,public.cheltuieli_diverse::idx_cheltuieli_data,2.0,8192 bytes
index,public.cheltuieli_diverse::idx_cheltuieli_tenant,2.0,8192 bytes
index,public.clienti::clienti_pkey,2.0,8192 bytes
index,public.clienti::clienti_tenant_id_id_client_key,2.0,8192 bytes
index,public.clienti::idx_clienti_tenant,2.0,8192 bytes
index,public.comenzi::comenzi_client_idx,2.0,8192 bytes
index,public.comenzi::comenzi_data_livrare_idx,2.0,8192 bytes
index,public.comenzi::comenzi_pkey,2.0,8192 bytes
index,public.comenzi::comenzi_status_idx,2.0,8192 bytes
index,public.comenzi::comenzi_tenant_demo_seed_idx,2.0,8192 bytes
index,public.comenzi::comenzi_tenant_idx,2.0,8192 bytes
index,public.culegatori::culegatori_pkey,2.0,8192 bytes
index,public.culegatori::culegatori_tenant_demo_seed_idx,2.0,8192 bytes
index,public.culegatori::idx_culegatori_activ,2.0,8192 bytes
index,public.culegatori::idx_culegatori_tenant,2.0,8192 bytes
index,public.miscari_stoc::miscari_stoc_loc_prod_cal_data_idx,2.0,8192 bytes
index,public.miscari_stoc::miscari_stoc_pkey,2.0,8192 bytes
index,public.miscari_stoc::miscari_stoc_tenant_demo_seed_idx,2.0,8192 bytes
index,public.miscari_stoc::miscari_stoc_tenant_locatie_idx,2.0,8192 bytes
index,public.miscari_stoc::miscari_stoc_tenant_tip_data_idx,2.0,8192 bytes
index,public.parcele::idx_parcele_status,2.0,8192 bytes
index,public.parcele::idx_parcele_tenant,2.0,8192 bytes
index,public.parcele::parcele_pkey,2.0,8192 bytes
index,public.parcele::parcele_tenant_demo_seed_idx,2.0,8192 bytes
index,public.clienti::clienti_tenant_google_resource_name_uq,0.0,8192 bytes
table,public.activitati_agricole,0.0,8192 bytes
table,public.parcele,1.0,0 bytes
table,public.tenants,1.0,0 bytes
index,public.nomenclatoare::idx_nomenclatoare_nivel,1.0,0 bytes
index,public.nomenclatoare::idx_nomenclatoare_tenant_tip,1.0,0 bytes
index,public.nomenclatoare::nomenclatoare_pkey,1.0,0 bytes
table,public.vanzari,1.0,0 bytes
table,public.vanzari_butasi,1.0,0 bytes
table,public.vanzari_butasi_items,1.0,0 bytes
table,public.clienti,1.0,0 bytes
table,public.comenzi,1.0,0 bytes
table,public.culegatori,1.0,0 bytes
table,public.miscari_stoc,1.0,0 bytes
table,public.nomenclatoare,1.0,0 bytes
table,public.profiles,1.0,0 bytes
table,public.recoltari,1.0,0 bytes
index,public.analytics_events::idx_analytics_events_name,0.8,0 bytes
index,public.analytics_events::idx_analytics_events_tenant,0.7,0 bytes
index,public.analytics_events::analytics_events_pkey,0.6,0 bytes
index,public.analytics_events::analytics_events_created_at_idx,0.5,0 bytes
index,public.analytics_events::analytics_events_tenant_id_idx,0.3,0 bytes
index,public.analytics_events::analytics_events_event_type_idx,0.3,0 bytes
index,public.analytics_events::analytics_events_event_name_idx,0.3,0 bytes
index,public.analytics_events::analytics_events_module_idx,0.2,0 bytes
index,public.culegatori::culegatori_tenant_id_id_culegator_key,0.0,0 bytes
index,public.vanzari_butasi::vanzari_butasi_tenant_id_id_vanzare_butasi_key,0.0,0 bytes
index,public.vanzari::vanzari_tenant_id_id_vanzare_key,0.0,0 bytes
index,public.cheltuieli_diverse::cheltuieli_diverse_tenant_id_id_cheltuiala_key,0.0,0 bytes
